instrument_id,side,qty,entry_ts,entry_price,exit_ts,exit_price,realized_pnl,fees,multiplier,is_open
USO,LONG,558,2022-03-02T21:00:00+00:00,74.84665,2022-10-04T20:00:00+00:00,68.32875,-3636.9881999999984,79.89187319999999,1.0,false
USO,LONG,213,2022-06-02T20:00:00+00:00,84.380425,2022-10-04T20:00:00+00:00,68.32875,-3419.0067750000007,32.527054275000005,1.0,false
SPY,LONG,109,2022-12-02T21:00:00+00:00,408.24807500000003,2023-01-04T21:00:00+00:00,381.54375,-2910.7714250000045,86.087308925,1.0,false
IWM,LONG,237,2022-12-02T21:00:00+00:00,187.24695,2023-01-04T21:00:00+00:00,173.694675,-3211.889175000002,85.543165125,1.0,false
GLD,LONG,86,2022-12-02T21:00:00+00:00,168.1794,2023-02-02T21:00:00+00:00,181.53502500000002,1148.5837500000027,30.075440550000003,1.0,false
IWM,LONG,2,2023-02-02T21:00:00+00:00,195.26695,2023-03-02T21:00:00+00:00,186.801825,-16.93025,0.76413755,1.0,false
QQQ,LONG,5,2023-02-02T21:00:00+00:00,306.374025,2023-04-04T20:00:00+00:00,318.74115,61.835624999999936,3.125575875,1.0,false
GLD,LONG,6,2022-12-02T21:00:00+00:00,168.1794,2023-04-04T20:00:00+00:00,183.809325,93.77955000000009,2.5994636443820225,1.0,false
IWM,LONG,164,2023-02-02T21:00:00+00:00,195.26695,2023-04-04T20:00:00+00:00,177.884175,-2850.7751000000017,61.58731840000001,1.0,false
QQQ,LONG,9,2023-02-02T21:00:00+00:00,306.374025,2023-06-02T20:00:00+00:00,352.127475,411.7810499999999,6.063016778465347,1.0,false
SPY,LONG,27,2023-02-02T21:00:00+00:00,414.363325,2023-07-05T20:00:00+00:00,442.07205,748.1355750000005,23.123755125,1.0,false
QQQ,LONG,33,2023-02-02T21:00:00+00:00,306.374025,2023-07-05T20:00:00+00:00,367.97774999999996,2032.922924999998,23.792139004891304,1.0,false
GLD,LONG,43,2022-12-02T21:00:00+00:00,168.1794,2023-07-05T20:00:00+00:00,178.51260000000002,444.32760000000144,18.7758822,1.0,false
SPY,LONG,16,2023-02-02T21:00:00+00:00,414.363325,2023-08-02T20:00:00+00:00,451.58820000000003,595.5980000000009,17.365125505882354,1.0,false
QQQ,LONG,19,2023-02-02T21:00:00+00:00,306.374025,2023-08-02T20:00:00+00:00,377.244525,1346.5394999999999,17.62590506567797,1.0,false
GLD,LONG,38,2022-12-02T21:00:00+00:00,168.1794,2023-08-02T20:00:00+00:00,180.5475,469.987800000001,19.939686711627907,1.0,false
GLD,LONG,1,2022-12-02T21:00:00+00:00,168.1794,2023-09-05T20:00:00+00:00,179.0712,10.891800000000018,0.6669762725274725,1.0,false
USO,LONG,21,2023-08-02T20:00:00+00:00,73.2627,2023-09-05T20:00:00+00:00,76.3686,65.22390000000011,3.1422573,1.0,false
IWM,LONG,142,2023-08-02T20:00:00+00:00,195.87847499999998,2023-10-03T20:00:00+00:00,173.4852,-3179.8450499999985,52.44964184999999,1.0,false
GLD,LONG,90,2022-12-02T21:00:00+00:00,168.1794,2023-10-03T20:00:00+00:00,168.826875,58.27275000000128,59.593780349999996,1.0,false
GLD,LONG,3,2023-03-02T21:00:00+00:00,170.826,2023-10-03T20:00:00+00:00,168.826875,-5.997374999999977,1.018958625,1.0,false
GLD,LONG,60,2023-05-02T20:00:00+00:00,184.46,2023-10-03T20:00:00+00:00,168.826875,-937.9875000000004,21.1972125,1.0,false
SPY,LONG,4,2023-02-02T21:00:00+00:00,414.363325,2023-12-04T21:00:00+00:00,457.06447499999996,170.80459999999994,5.522010968571428,1.0,false
QQQ,LONG,5,2023-02-02T21:00:00+00:00,306.374025,2023-12-04T21:00:00+00:00,388.12725,408.76612499999993,6.000092081250001,1.0,false
GLD,LONG,1,2023-11-02T20:00:00+00:00,184.5803,2023-12-04T21:00:00+00:00,191.46015,6.879850000000005,0.37604044999999997,1.0,false
USO,LONG,360,2023-08-02T20:00:00+00:00,73.2627,2023-12-04T21:00:00+00:00,68.119275,-1851.6329999999975,52.4360277,1.0,false
USO,LONG,76,2023-11-02T20:00:00+00:00,75.44815,2023-12-04T21:00:00+00:00,68.119275,-556.9944999999998,10.9111243,1.0,false
SPY,LONG,15,2023-02-02T21:00:00+00:00,414.363325,2024-01-03T21:00:00+00:00,470.96962499999995,849.0944999999997,22.703418254032258,1.0,false
QQQ,LONG,18,2023-02-02T21:00:00+00:00,306.374025,2024-01-03T21:00:00+00:00,400.47630000000004,1693.8409500000002,23.910334534285717,1.0,false
GLD,LONG,32,2023-11-02T20:00:00+00:00,184.5803,2024-01-03T21:00:00+00:00,190.44269999999997,187.59679999999935,12.034296054545454,1.0,false
SPY,LONG,3,2023-02-02T21:00:00+00:00,414.363325,2024-02-02T21:00:00+00:00,490.899675,229.60905000000008,7.532762653124999,1.0,false
QQQ,LONG,4,2023-02-02T21:00:00+00:00,306.374025,2024-02-02T21:00:00+00:00,425.4936,476.4783,9.343303023529412,1.0,false
SPY,LONG,1,2023-02-02T21:00:00+00:00,414.363325,2024-03-04T21:00:00+00:00,511.45815,97.09482500000001,2.9976380999999996,1.0,false
QQQ,LONG,1,2023-02-02T21:00:00+00:00,306.374025,2024-03-04T21:00:00+00:00,445.274025,138.89999999999998,2.9434006903846157,1.0,false
IWM,LONG,2,2024-01-03T21:00:00+00:00,199.23685,2024-03-04T21:00:00+00:00,205.485,12.49630000000002,0.8094437000000001,1.0,false
TLT,LONG,280,2024-01-03T21:00:00+00:00,97.87407499999999,2024-03-04T21:00:00+00:00,93.90465,-1111.4389999999962,53.698043,1.0,false
GLD,LONG,6,2023-11-02T20:00:00+00:00,184.5803,2024-04-02T20:00:00+00:00,208.45755,143.26350000000002,2.6120250125,1.0,false
GLD,LONG,9,2023-11-02T20:00:00+00:00,184.5803,2024-05-02T20:00:00+00:00,213.075975,256.46107500000005,4.048382455434783,1.0,false
USO,LONG,364,2024-04-02T20:00:00+00:00,80.70125,2024-06-04T20:00:00+00:00,70.53322499999999,-3701.1611000000053,55.0493489,1.0,false
SPY,LONG,2,2023-02-02T21:00:00+00:00,414.363325,2024-07-02T20:00:00+00:00,542.18115,255.63565000000006,6.4710855249999994,1.0,false
QQQ,LONG,5,2023-02-02T21:00:00+00:00,306.374025,2024-07-02T20:00:00+00:00,478.809975,862.17975,15.925569312500002,1.0,false
SPY,LONG,7,2023-02-02T21:00:00+00:00,414.363325,2024-08-02T20:00:00+00:00,537.143775,859.4631500000003,26.384243969999996,1.0,false
QQQ,LONG,6,2023-02-02T21:00:00+00:00,306.374025,2024-08-02T20:00:00+00:00,452.12685,874.5169499999998,30.54902965714286,1.0,false
IWM,LONG,29,2024-01-03T21:00:00+00:00,199.23685,2024-08-02T20:00:00+00:00,213.913875,425.6337249999996,12.066339681617647,1.0,false
GLD,LONG,24,2023-11-02T20:00:00+00:00,184.5803,2024-08-02T20:00:00+00:00,227.021025,1018.5774000000004,11.526776804651163,1.0,false
